0,3.0
-2,3.0
2,3.0
-4,3.0
4,3.0
-6,3.0
6,3.0
-8,3.0
8,3.0
-10,3.0
10,3.0
-12,3.0
12,3.0
-14,3.0
14,3.0
-16,3.0
16,3.0
-18,3.0
18,3.0
-20,3.0
20,3.0
-22,3.0
22,3.0
-24,3.0
24,3.0
-26,3.0
26,3.0
-28,3.0
28,3.0
-30,3.0
30,3.0
-32,3.0
32,3.0
-34,3.0
34,3.0
-36,3.0
36,3.0
-38,3.0
38,3.0
-40,3.0
40,3.0
-42,3.0
42,3.0
-44,3.0
44,3.0
-46,3.0
46,3.0
-48,3.0
48,3.0
-50,3.0
50,3.0
-52,3.0
52,3.0
-54,3.0
54,3.0
-56,3.0
56,3.0
-58,3.0
58,3.0
-60,3.0
60,3.0
-62,3.0
62,3.0
-64,3.0
64,3.0
-66,3.0
66,3.0
-68,3.0
68,3.0
-70,3.0
70,3.0
-72,3.0
72,3.0
-74,3.0
74,3.0
-76,3.0
76,3.0
-78,3.0
78,3.0
-80,3.0
80,3.0
-82,3.0
82,3.0
-84,3.0
84,3.0
-86,3.0
86,3.0
-88,3.0
88,3.0
-90,3.0
90,3.0
-92,3.0
92,3.0
-94,3.0
94,3.0
-96,3.0
96,3.0
-98,3.0
98,3.0
-100,3.0
100,3.0
